Date,Adj Close
2008-01-02,103.4956283569336
2008-01-03,103.44558715820312
2008-01-04,100.9105453491211
2008-01-07,100.8248519897461
2008-01-08,99.19673156738281
2008-01-09,100.23929595947266
2008-01-10,100.89625549316406
2008-01-11,100.0821762084961
2008-01-14,100.88912200927734
2008-01-15,98.66824340820312
2008-01-16,97.8184585571289
2008-01-17,95.28336334228516
2008-01-18,94.30502319335938
2008-01-22,93.34813690185547
2008-01-23,95.5904312133789
2008-01-24,96.39741516113281
2008-01-25,95.0048599243164
2008-01-28,96.5759048461914
2008-01-29,97.05435943603516
2008-01-30,96.34028625488281
2008-01-31,98.09696960449219
2008-02-01,99.67514038085938
2008-02-04,98.41831970214844
2008-02-05,95.78325653076172
2008-02-06,95.01205444335938
2008-02-07,95.64043426513672
2008-02-08,95.02632141113281
2008-02-11,95.51190185546875
2008-02-12,96.39741516113281
2008-02-13,97.38285827636719
2008-02-14,96.52595520019531
2008-02-15,96.5044937133789
2008-02-19,96.7759017944336
2008-02-20,97.06150817871094
2008-02-21,96.25458526611328
2008-02-22,96.84728240966797
2008-02-25,98.06838989257812
2008-02-26,98.80392456054688
2008-02-27,98.70392608642578
2008-02-28,97.73990631103516
2008-02-29,95.5618896484375
2008-03-03,95.3333511352539
2008-03-04,94.96918487548828
2008-03-05,95.56904602050781
2008-03-06,93.5909423828125
2008-03-07,92.62688446044922
2008-03-10,91.40579986572266
2008-03-11,94.69068908691406
2008-03-12,93.80517578125
2008-03-13,94.01226806640625
2008-03-14,92.55548858642578
2008-03-17,91.61998748779297
2008-03-18,95.42620849609375
2008-03-19,93.0625228881836
2008-03-20,94.78626251220703
2008-03-24,96.68083953857422
2008-03-25,96.7741928100586
2008-03-26,95.59003448486328
2008-03-27,95.28860473632812
2008-03-28,94.37720489501953
2008-03-31,94.70734405517578
2008-04-01,98.0372543334961
2008-04-02,98.10179138183594
2008-04-03,98.3458023071289
2008-04-04,98.2381820678711
2008-04-07,98.28836059570312
2008-04-08,98.18790435791016
2008-04-09,97.47747039794922
2008-04-10,97.6137924194336
2008-04-11,95.71923065185547
2008-04-14,95.39624786376953
2008-04-15,95.6187515258789
2008-04-16,98.20942687988281
2008-04-17,98.35296630859375
2008-04-18,99.3791732788086
2008-04-21,99.4294662475586
2008-04-22,98.99170684814453
2008-04-23,98.83377838134766
2008-04-24,99.26441192626953
2008-04-25,100.18295288085938
2008-04-28,100.20449829101562
2008-04-29,99.80976867675781
2008-04-30,99.2212905883789
2008-05-01,101.27373504638672
2008-05-02,101.55366516113281
2008-05-05,101.0656967163086
2008-05-06,101.94119262695312
2008-05-07,100.12555694580078
2008-05-08,99.86717987060547
2008-05-09,99.68061828613281
2008-05-12,100.80011749267578
2008-05-13,100.81452178955078
2008-05-14,101.02261352539062
2008-05-15,102.2856674194336
2008-05-16,102.37895202636719
2008-05-19,102.65880584716797
2008-05-20,101.82633972167969
2008-05-21,100.10404968261719
2008-05-22,100.11833190917969
2008-05-23,98.77637481689453
2008-05-27,99.50835418701172
2008-05-28,99.96763610839844
2008-05-29,100.47001647949219
2008-05-30,100.7212142944336
2008-06-02,99.68061828613281
2008-06-03,99.09927368164062
2008-06-04,99.04912567138672
2008-06-05,101.02980041503906
2008-06-06,97.80754852294922
2008-06-09,98.04437255859375
2008-06-10,97.55638122558594
2008-06-11,96.12110137939453
2008-06-12,96.48709106445312
2008-06-13,97.70709991455078
2008-06-16,97.76448822021484
2008-06-17,97.29084014892578
2008-06-18,96.34354400634766
2008-06-19,96.4655532836914
2008-06-20,94.89979553222656
2008-06-23,94.80602264404297
2008-06-24,94.61849212646484
2008-06-25,95.06562805175781
2008-06-26,92.48367309570312
2008-06-27,91.97879791259766
2008-06-30,92.30333709716797
2008-07-01,92.5918197631836
2008-07-02,91.0051040649414
2008-07-03,91.09889221191406
2008-07-07,90.1684799194336
2008-07-08,91.7696304321289
2008-07-09,90.00260925292969
2008-07-10,90.37043762207031
2008-07-11,89.31743621826172
2008-07-14,88.50965881347656
2008-07-15,87.26193237304688
2008-07-16,89.40398406982422
2008-07-17,90.29827880859375
2008-07-18,90.8608627319336
2008-07-21,90.91133117675781
2008-07-22,91.94270324707031
2008-07-23,92.44038391113281
2008-07-24,90.52188873291016
2008-07-25,90.5002670288086
2008-07-28,89.17316436767578
2008-07-29,91.07722473144531
2008-07-30,92.70001983642578
2008-07-31,91.47392272949219
2008-08-01,90.9906997680664
2008-08-04,90.14685821533203
2008-08-05,92.57740020751953
2008-08-06,92.98846435546875
2008-08-07,91.60374450683594
2008-08-08,93.30584716796875
2008-08-11,94.2723159790039
2008-08-12,93.29143524169922
2008-08-13,92.7288589477539
2008-08-14,93.42843627929688
2008-08-15,93.88282012939453
2008-08-18,92.59903717041016
2008-08-19,91.58930206298828
2008-08-20,92.01483917236328
2008-08-21,92.17351531982422
2008-08-22,93.50777435302734
2008-08-25,91.6109619140625
2008-08-26,91.87781524658203
2008-08-27,92.77213287353516
2008-08-28,93.89727020263672
2008-08-29,92.88752746582031
2008-09-02,92.31055450439453
2008-09-03,92.23120880126953
2008-09-04,89.45445251464844
2008-09-05,89.73576354980469
2008-09-08,91.58930206298828
2008-09-09,88.8702621459961
2008-09-10,89.23090362548828
2008-09-11,90.52188873291016
2008-09-12,90.9402084350586
2008-09-15,86.61280822753906
2008-09-16,88.06248474121094
2008-09-17,84.10293579101562
2008-09-18,86.59837341308594
2008-09-19,90.03755950927734
2008-09-22,87.99915313720703
2008-09-23,85.99700164794922
2008-09-24,86.2726821899414
